EPOCH: 256
Training: [256 / 0], d_loss: -368.087097, g_loss: 183.823563, elapsed time: 40.606094 seconds
Training: [565 / 5], d_loss: -197.829819, g_loss: 170.781815, elapsed time: 34.158727 seconds
Training: [565 / 6], d_loss: -311.798737, g_loss: 173.613647, elapsed time: 34.038280 seconds
Training: [565 / 7], d_loss: -356.343201, g_loss: 182.370514, elapsed time: 33.958711 seconds
Training: [565 / 8], d_loss: -347.990204, g_loss: 176.862244, elapsed time: 34.092039 seconds
Training: [565 / 9], d_loss: -290.212341, g_loss: 177.961777, elapsed time: 33.942885 seconds
Training: [565 / 10], d_loss: -348.306000, g_loss: 177.690079, elapsed time: 33.906693 seconds
Training: [565 / 11], d_loss: -329.021179, g_loss: 173.978455, elapsed time: 34.040752 seconds
Training: [565 / 12], d_loss: -347.223145, g_loss: 175.766693, elapsed time: 33.932569 seconds
Training: [565 / 13], d_loss: -310.053894, g_loss: 167.463882, elapsed time: 33.967144 seconds
EPOCH: 566
Training: [566 / 0], d_loss: -275.443176, g_loss: -25.142986, elapsed time: 34.054032 seconds
Training: [566 / 1], d_loss: -106.912186, g_loss: 147.009338, elapsed time: 33.983442 seconds
Training: [566 / 2], d_loss: -361.440002, g_loss: 187.691498, elapsed time: 33.961416 seconds
Training: [566 / 3], d_loss: -355.234802, g_loss: 178.734741, elapsed time: 33.985079 seconds
Training: [566 / 4], d_loss: -233.753601, g_loss: 173.804596, elapsed time: 33.894206 seconds
Training: [566 / 5], d_loss: -37.794861, g_loss: 157.346359, elapsed time: 33.874918 seconds
Training: [566 / 6], d_loss: -334.273804, g_loss: 173.296051, elapsed time: 34.096370 seconds
Training: [566 / 7], d_loss: -105.064102, g_loss: 129.335526, elapsed time: 33.903126 seconds
Training: [566 / 8], d_loss: -259.349579, g_loss: 177.483353, elapsed time: 34.104930 seconds
Training: [566 / 9], d_loss: -358.688904, g_loss: 186.123596, elapsed time: 33.944129 seconds
Training: [566 / 10], d_loss: -357.376495, g_loss: 182.216217, elapsed time: 33.950693 seconds
Training: [566 / 11], d_loss: -351.592590, g_loss: 177.793289, elapsed time: 33.963032 seconds
Training: [566 / 12], d_loss: -333.888306, g_loss: 178.748032, elapsed time: 33.936612 seconds
Training: [566 / 13], d_loss: -345.988159, g_loss: 176.529037, elapsed time: 34.058325 seconds
EPOCH: 567
Training: [567 / 0], d_loss: -120.231842, g_loss: 152.539505, elapsed time: 33.930961 seconds
Training: [567 / 1], d_loss: -292.184937, g_loss: 162.170044, elapsed time: 34.003939 seconds
Training: [567 / 2], d_loss: -256.914520, g_loss: 164.332199, elapsed time: 34.100262 seconds
Training: [567 / 3], d_loss: -355.930023, g_loss: 183.120468, elapsed time: 34.049523 seconds
Training: [567 / 4], d_loss: -347.524628, g_loss: 175.082855, elapsed time: 33.943788 seconds
Training: [567 / 5], d_loss: -340.768921, g_loss: 180.059540, elapsed time: 33.958828 seconds
Training: [567 / 6], d_loss: -324.857849, g_loss: 145.825211, elapsed time: 34.027661 seconds
Training: [567 / 7], d_loss: -247.220001, g_loss: 169.440170, elapsed time: 33.983389 seconds
Training: [567 / 8], d_loss: -205.384262, g_loss: 58.857094, elapsed time: 33.927877 seconds
Training: [567 / 9], d_loss: -354.698334, g_loss: 184.574493, elapsed time: 33.993969 seconds
Training: [567 / 10], d_loss: -345.095581, g_loss: 176.533371, elapsed time: 33.973655 seconds
Training: [567 / 11], d_loss: -345.933594, g_loss: 181.584412, elapsed time: 34.013261 seconds
Training: [567 / 12], d_loss: -342.846985, g_loss: 167.034592, elapsed time: 33.923338 seconds
Training: [567 / 13], d_loss: -193.132690, g_loss: -49.431622, elapsed time: 34.015282 seconds
EPOCH: 568
Training: [568 / 0], d_loss: -339.032654, g_loss: 169.191422, elapsed time: 33.932015 seconds
Training: [568 / 1], d_loss: -32.732880, g_loss: 65.098511, elapsed time: 33.969694 seconds
Training: [568 / 2], d_loss: -272.468689, g_loss: 179.557205, elapsed time: 33.981503 seconds
Training: [568 / 3], d_loss: -232.387482, g_loss: -1.508217, elapsed time: 33.945393 seconds
Training: [568 / 4], d_loss: -357.508728, g_loss: 186.186615, elapsed time: 34.035002 seconds
Training: [568 / 5], d_loss: -358.468964, g_loss: 184.736298, elapsed time: 33.952975 seconds
Training: [568 / 6], d_loss: -356.567261, g_loss: 186.219818, elapsed time: 33.944536 seconds
Training: [568 / 7], d_loss: -352.544586, g_loss: 180.471680, elapsed time: 33.950409 seconds
Training: [568 / 8], d_loss: -345.234619, g_loss: 185.885376, elapsed time: 34.030309 seconds
Training: [568 / 9], d_loss: -182.170731, g_loss: -77.454712, elapsed time: 33.988728 seconds
Training: [568 / 10], d_loss: -345.543518, g_loss: 182.465927, elapsed time: 33.942122 seconds
Training: [568 / 11], d_loss: -350.916443, g_loss: 180.365997, elapsed time: 33.957916 seconds
Training: [568 / 12], d_loss: -349.331604, g_loss: 184.941132, elapsed time: 33.963577 seconds
Training: [568 / 13], d_loss: -69.101433, g_loss: -106.268250, elapsed time: 33.959888 seconds
EPOCH: 569
Training: [569 / 0], d_loss: -350.666077, g_loss: 185.826874, elapsed time: 34.035069 seconds
Training: [569 / 1], d_loss: -361.167297, g_loss: 183.891998, elapsed time: 33.999357 seconds
Training: [569 / 2], d_loss: -237.264862, g_loss: -44.494576, elapsed time: 34.020931 seconds
Training: [569 / 3], d_loss: -334.101135, g_loss: 181.525497, elapsed time: 33.979160 seconds
Training: [569 / 4], d_loss: -362.957703, g_loss: 186.812805, elapsed time: 33.913358 seconds
Training: [569 / 5], d_loss: -356.540894, g_loss: 180.664612, elapsed time: 33.997745 seconds
Training: [569 / 6], d_loss: -138.248383, g_loss: 172.535309, elapsed time: 34.002194 seconds
Training: [569 / 7], d_loss: -233.331924, g_loss: 54.012733, elapsed time: 33.908884 seconds
Training: [569 / 8], d_loss: -291.770142, g_loss: 58.071480, elapsed time: 34.049345 seconds
Training: [569 / 9], d_loss: -360.040314, g_loss: 187.555847, elapsed time: 33.962132 seconds
Training: [569 / 10], d_loss: -362.255005, g_loss: 184.891479, elapsed time: 33.966211 seconds
Training: [569 / 11], d_loss: -361.963928, g_loss: 186.434570, elapsed time: 34.069357 seconds
Training: [569 / 12], d_loss: -359.372955, g_loss: 186.682129, elapsed time: 34.040940 seconds
Training: [569 / 13], d_loss: -358.445618, g_loss: 187.002579, elapsed time: 34.093113 seconds
EPOCH: 570
Training: [570 / 0], d_loss: -348.137756, g_loss: 183.654053, elapsed time: 34.154119 seconds
Training: [570 / 1], d_loss: -314.819153, g_loss: 184.901398, elapsed time: 34.513255 seconds
Training: [570 / 2], d_loss: -105.137932, g_loss: 159.046295, elapsed time: 34.489252 seconds
Training: [570 / 3], d_loss: -186.256256, g_loss: -29.660172, elapsed time: 34.514537 seconds
Training: [570 / 4], d_loss: -150.921097, g_loss: 144.332932, elapsed time: 34.495481 seconds
Training: [570 / 5], d_loss: -356.072632, g_loss: 185.379059, elapsed time: 34.561159 seconds
Training: [570 / 6], d_loss: -363.571411, g_loss: 183.917938, elapsed time: 34.365858 seconds
Training: [570 / 7], d_loss: -359.525635, g_loss: 183.363419, elapsed time: 34.384381 seconds
Training: [570 / 8], d_loss: -354.827148, g_loss: 183.148895, elapsed time: 34.473361 seconds
Training: [570 / 9], d_loss: -219.735321, g_loss: 51.517475, elapsed time: 34.465168 seconds
Training: [570 / 10], d_loss: -39.772972, g_loss: 115.374252, elapsed time: 34.330283 seconds
Training: [570 / 11], d_loss: -352.221436, g_loss: 186.847519, elapsed time: 34.028031 seconds
Training: [570 / 12], d_loss: -357.388580, g_loss: 185.001953, elapsed time: 34.833002 seconds
Training: [570 / 13], d_loss: -80.518692, g_loss: 164.005035, elapsed time: 34.036171 seconds
EPOCH: 571
Training: [571 / 0], d_loss: -135.398438, g_loss: -63.675934, elapsed time: 34.086056 seconds
Training: [571 / 1], d_loss: -287.146545, g_loss: 153.328003, elapsed time: 34.096213 seconds
Training: [571 / 2], d_loss: -207.163269, g_loss: 170.513092, elapsed time: 34.045566 seconds
Training: [571 / 3], d_loss: -147.717789, g_loss: -133.682755, elapsed time: 34.030815 seconds
Training: [571 / 4], d_loss: -350.070526, g_loss: 183.935699, elapsed time: 33.975991 seconds
Training: [571 / 5], d_loss: -362.197083, g_loss: 187.103943, elapsed time: 34.027301 seconds
Training: [571 / 6], d_loss: -356.189575, g_loss: 181.766235, elapsed time: 34.018736 seconds
Training: [571 / 7], d_loss: -174.945251, g_loss: 176.268982, elapsed time: 33.944266 seconds
Training: [571 / 8], d_loss: -313.292450, g_loss: 144.336563, elapsed time: 33.911770 seconds
Training: [571 / 9], d_loss: -320.342072, g_loss: 148.305603, elapsed time: 33.936255 seconds
Training: [571 / 10], d_loss: -55.955002, g_loss: 151.096420, elapsed time: 33.952757 seconds
Training: [571 / 11], d_loss: -351.485016, g_loss: 180.351425, elapsed time: 34.018806 seconds
Training: [571 / 12], d_loss: -345.031555, g_loss: 183.613678, elapsed time: 34.010320 seconds
Training: [571 / 13], d_loss: -350.557831, g_loss: 180.289108, elapsed time: 33.967001 seconds
EPOCH: 572
Training: [572 / 0], d_loss: -336.819641, g_loss: 138.825897, elapsed time: 34.061403 seconds
Training: [572 / 1], d_loss: -302.450195, g_loss: 180.497620, elapsed time: 34.241843 seconds
Training: [572 / 2], d_loss: -178.882355, g_loss: 60.535454, elapsed time: 34.064139 seconds
Training: [572 / 3], d_loss: -290.864838, g_loss: 177.552826, elapsed time: 34.081246 seconds
Training: [572 / 4], d_loss: -259.108459, g_loss: -39.592628, elapsed time: 33.894915 seconds
Training: [572 / 5], d_loss: -357.965027, g_loss: 185.815308, elapsed time: 33.964976 seconds
Training: [572 / 6], d_loss: -358.419678, g_loss: 182.388580, elapsed time: 33.950101 seconds
Training: [572 / 7], d_loss: -290.806885, g_loss: 182.364304, elapsed time: 33.987607 seconds
Training: [572 / 8], d_loss: -301.108215, g_loss: 153.320435, elapsed time: 34.059945 seconds
Training: [572 / 9], d_loss: -212.070679, g_loss: 171.919357, elapsed time: 34.303612 seconds
Training: [572 / 10], d_loss: -352.465149, g_loss: 184.907761, elapsed time: 34.149228 seconds
Training: [572 / 11], d_loss: -357.050537, g_loss: 183.295441, elapsed time: 34.058636 seconds
Training: [572 / 12], d_loss: -348.935913, g_loss: 177.741409, elapsed time: 34.327398 seconds
Training: [572 / 13], d_loss: -334.935791, g_loss: 182.354645, elapsed time: 34.091102 seconds
EPOCH: 573
Training: [573 / 0], d_loss: -17.746429, g_loss: 163.721375, elapsed time: 33.922305 seconds
Training: [573 / 1], d_loss: -276.544800, g_loss: 92.218567, elapsed time: 33.928157 seconds
Training: [573 / 2], d_loss: -325.628876, g_loss: 181.171204, elapsed time: 34.032612 seconds
Training: [573 / 3], d_loss: -353.931519, g_loss: 178.160004, elapsed time: 33.943340 seconds
Training: [573 / 4], d_loss: -333.095398, g_loss: 184.550125, elapsed time: 33.860129 seconds
Training: [573 / 5], d_loss: -200.645752, g_loss: -9.601892, elapsed time: 33.994762 seconds
Training: [573 / 6], d_loss: -158.522720, g_loss: 159.591721, elapsed time: 33.972748 seconds
Training: [573 / 7], d_loss: -286.037048, g_loss: 141.368164, elapsed time: 34.025867 seconds
Training: [573 / 8], d_loss: -320.868347, g_loss: 184.317429, elapsed time: 34.063443 seconds
Training: [573 / 9], d_loss: -356.900757, g_loss: 183.769363, elapsed time: 33.868539 seconds
Training: [573 / 10], d_loss: -350.218414, g_loss: 180.760803, elapsed time: 33.918556 seconds
Training: [573 / 11], d_loss: -346.479950, g_loss: 182.030334, elapsed time: 33.988999 seconds
Training: [573 / 12], d_loss: -331.208191, g_loss: 163.400284, elapsed time: 33.907662 seconds
Training: [573 / 13], d_loss: -83.772743, g_loss: 165.716125, elapsed time: 33.920520 seconds
EPOCH: 574
Training: [574 / 0], d_loss: -306.566040, g_loss: 146.176849, elapsed time: 34.001684 seconds
Training: [574 / 1], d_loss: -273.660797, g_loss: 172.294250, elapsed time: 33.918245 seconds
Training: [574 / 2], d_loss: -355.238800, g_loss: 184.402420, elapsed time: 34.120320 seconds
Training: [574 / 3], d_loss: -348.613861, g_loss: 177.635864, elapsed time: 33.954903 seconds
Training: [574 / 4], d_loss: -350.343109, g_loss: 179.977448, elapsed time: 33.885920 seconds
Training: [574 / 5], d_loss: -346.582214, g_loss: 178.710114, elapsed time: 33.939901 seconds
Training: [574 / 6], d_loss: -321.129822, g_loss: 180.601959, elapsed time: 34.002857 seconds
Training: [574 / 7], d_loss: -161.842346, g_loss: 104.632950, elapsed time: 34.153931 seconds
Training: [574 / 8], d_loss: -251.395874, g_loss: 172.521851, elapsed time: 34.203675 seconds
Training: [574 / 9], d_loss: -205.960480, g_loss: -8.836416, elapsed time: 34.058909 seconds
Training: [574 / 10], d_loss: -333.058655, g_loss: 183.696930, elapsed time: 34.077857 seconds
Training: [574 / 11], d_loss: -361.402161, g_loss: 187.789337, elapsed time: 34.052299 seconds
Training: [574 / 12], d_loss: -352.061707, g_loss: 179.198181, elapsed time: 33.963458 seconds
Training: [574 / 13], d_loss: -347.548370, g_loss: 180.989014, elapsed time: 34.001149 seconds
EPOCH: 575
Training: [575 / 0], d_loss: -352.946716, g_loss: 186.163437, elapsed time: 34.068938 seconds
Training: [575 / 1], d_loss: -52.444450, g_loss: 77.967323, elapsed time: 33.969354 seconds
Training: [575 / 2], d_loss: -294.472687, g_loss: 169.251236, elapsed time: 34.021698 seconds
Training: [575 / 3], d_loss: -329.626404, g_loss: 176.353638, elapsed time: 34.004344 seconds
Training: [575 / 4], d_loss: -356.241669, g_loss: 182.437469, elapsed time: 33.995869 seconds
Training: [575 / 5], d_loss: -115.689194, g_loss: 76.489197, elapsed time: 34.184324 seconds
Training: [575 / 6], d_loss: -293.179626, g_loss: 178.587769, elapsed time: 34.461457 seconds
Training: [575 / 7], d_loss: -363.370605, g_loss: 188.228119, elapsed time: 34.385503 seconds
Training: [575 / 8], d_loss: -367.348572, g_loss: 188.821518, elapsed time: 34.316954 seconds
Training: [575 / 9], d_loss: -363.202698, g_loss: 185.678238, elapsed time: 34.291833 seconds
Training: [575 / 10], d_loss: -354.601807, g_loss: 183.373505, elapsed time: 34.267632 seconds
Training: [575 / 11], d_loss: -95.427238, g_loss: 127.996307, elapsed time: 34.377542 seconds
Training: [575 / 12], d_loss: -113.307045, g_loss: -121.530182, elapsed time: 34.179397 seconds
Training: [575 / 13], d_loss: -182.311493, g_loss: 147.162476, elapsed time: 34.226579 seconds
EPOCH: 576
Training: [576 / 0], d_loss: -358.828064, g_loss: 185.897278, elapsed time: 34.068179 seconds
Training: [576 / 1], d_loss: -345.528168, g_loss: 184.065460, elapsed time: 34.287241 seconds
Training: [576 / 2], d_loss: -24.225418, g_loss: 165.174805, elapsed time: 34.131723 seconds
Training: [576 / 3], d_loss: -201.338287, g_loss: 148.261276, elapsed time: 34.217150 seconds
Training: [576 / 4], d_loss: -88.092606, g_loss: 163.423660, elapsed time: 34.279297 seconds
Training: [576 / 5], d_loss: -293.940491, g_loss: 162.580536, elapsed time: 34.134565 seconds
Training: [576 / 6], d_loss: -352.983856, g_loss: 184.732407, elapsed time: 34.098262 seconds
Training: [576 / 7], d_loss: -350.931885, g_loss: 178.051102, elapsed time: 34.175531 seconds
Training: [576 / 8], d_loss: -297.297729, g_loss: 181.554489, elapsed time: 34.041526 seconds
Training: [576 / 9], d_loss: -154.618286, g_loss: 70.012627, elapsed time: 34.066340 seconds
Training: [576 / 10], d_loss: -311.593567, g_loss: 180.911133, elapsed time: 34.074631 seconds
Training: [576 / 11], d_loss: -360.194946, g_loss: 185.969849, elapsed time: 34.038984 seconds
Training: [576 / 12], d_loss: -348.069702, g_loss: 177.417023, elapsed time: 34.121627 seconds
Training: [576 / 13], d_loss: -352.033752, g_loss: 180.363495, elapsed time: 33.981075 seconds
EPOCH: 577
Training: [577 / 0], d_loss: -343.656677, g_loss: 176.121338, elapsed time: 34.010049 seconds
Training: [577 / 1], d_loss: -322.685425, g_loss: 179.646545, elapsed time: 33.975739 seconds
Training: [577 / 2], d_loss: -78.368118, g_loss: 138.859772, elapsed time: 33.961890 seconds
Training: [577 / 3], d_loss: -275.916626, g_loss: 181.693878, elapsed time: 34.015757 seconds
Training: [577 / 4], d_loss: -329.919800, g_loss: 174.432678, elapsed time: 33.940478 seconds
Training: [577 / 5], d_loss: -352.720215, g_loss: 181.096024, elapsed time: 34.083044 seconds
Training: [577 / 6], d_loss: -348.241028, g_loss: 175.767380, elapsed time: 33.988441 seconds
Training: [577 / 7], d_loss: -317.734985, g_loss: 177.954330, elapsed time: 33.972190 seconds
Training: [577 / 8], d_loss: -228.693665, g_loss: 102.928894, elapsed time: 34.122739 seconds
Training: [577 / 9], d_loss: -213.270157, g_loss: 163.722382, elapsed time: 34.016775 seconds
Training: [577 / 10], d_loss: -314.071960, g_loss: 145.687286, elapsed time: 34.096179 seconds
Training: [577 / 11], d_loss: -350.217804, g_loss: 183.224579, elapsed time: 34.098848 seconds
Training: [577 / 12], d_loss: -341.683167, g_loss: 181.090775, elapsed time: 34.115015 seconds
Training: [577 / 13], d_loss: -341.630341, g_loss: 180.075363, elapsed time: 33.982557 seconds
EPOCH: 578
Training: [578 / 0], d_loss: -351.927887, g_loss: 181.235535, elapsed time: 34.117510 seconds
Training: [578 / 1], d_loss: -48.994003, g_loss: 104.575813, elapsed time: 34.254059 seconds
Training: [578 / 2], d_loss: -75.149307, g_loss: 66.961533, elapsed time: 34.093293 seconds
Training: [578 / 3], d_loss: -95.970688, g_loss: 98.142464, elapsed time: 34.003425 seconds
Training: [578 / 4], d_loss: -156.905899, g_loss: 168.290604, elapsed time: 34.250954 seconds
Training: [578 / 5], d_loss: -354.972900, g_loss: 185.532593, elapsed time: 34.685728 seconds
Training: [578 / 6], d_loss: -364.306702, g_loss: 188.290359, elapsed time: 34.361252 seconds
Training: [578 / 7], d_loss: -357.087769, g_loss: 181.495010, elapsed time: 34.392564 seconds
Training: [578 / 8], d_loss: -350.361755, g_loss: 177.149139, elapsed time: 34.165882 seconds
Training: [578 / 9], d_loss: -345.100189, g_loss: 179.928925, elapsed time: 34.176672 seconds
Training: [578 / 10], d_loss: -164.769211, g_loss: 169.569992, elapsed time: 34.124533 seconds
Training: [578 / 11], d_loss: -322.038269, g_loss: 166.059357, elapsed time: 34.421724 seconds
Training: [578 / 12], d_loss: -309.525574, g_loss: 169.357330, elapsed time: 34.411068 seconds
Training: [578 / 13], d_loss: -326.638672, g_loss: 181.782104, elapsed time: 34.121128 seconds
EPOCH: 579
Training: [579 / 0], d_loss: -352.246948, g_loss: 181.486877, elapsed time: 34.095151 seconds
Training: [579 / 1], d_loss: -355.025024, g_loss: 181.057510, elapsed time: 34.164527 seconds
Training: [579 / 2], d_loss: -316.903870, g_loss: 177.470718, elapsed time: 34.251387 seconds
Training: [579 / 3], d_loss: -23.185532, g_loss: 137.070877, elapsed time: 34.310820 seconds
Training: [579 / 4], d_loss: -260.830200, g_loss: 178.196106, elapsed time: 33.969800 seconds
Training: [579 / 5], d_loss: -301.453186, g_loss: 108.700615, elapsed time: 34.027148 seconds
Training: [579 / 6], d_loss: -216.759949, g_loss: 105.322777, elapsed time: 33.992539 seconds
Training: [579 / 7], d_loss: -269.931763, g_loss: 177.594727, elapsed time: 34.086140 seconds
Training: [579 / 8], d_loss: -357.541443, g_loss: 186.456848, elapsed time: 33.986902 seconds
Training: [579 / 9], d_loss: -359.389038, g_loss: 180.036697, elapsed time: 33.964447 seconds
Training: [579 / 10], d_loss: -356.375214, g_loss: 182.118469, elapsed time: 34.043145 seconds
Training: [579 / 11], d_loss: -344.937317, g_loss: 180.785233, elapsed time: 34.142573 seconds
Training: [579 / 12], d_loss: -317.697693, g_loss: 180.846664, elapsed time: 33.934368 seconds
Training: [579 / 13], d_loss: -153.001892, g_loss: 29.526913, elapsed time: 33.913626 seconds
EPOCH: 580
Training: [580 / 0], d_loss: -343.047516, g_loss: 184.882355, elapsed time: 33.943210 seconds
Training: [580 / 1], d_loss: -358.373413, g_loss: 184.440536, elapsed time: 34.007304 seconds
Training: [580 / 2], d_loss: -349.814056, g_loss: 183.864914, elapsed time: 34.064875 seconds
Training: [580 / 3], d_loss: -344.684265, g_loss: 154.205292, elapsed time: 33.997309 seconds
Training: [580 / 4], d_loss: -105.040619, g_loss: 145.060959, elapsed time: 33.987172 seconds
Training: [580 / 5], d_loss: -163.307709, g_loss: 31.048288, elapsed time: 33.950138 seconds
Training: [580 / 6], d_loss: -347.718536, g_loss: 184.182800, elapsed time: 34.056175 seconds
Training: [580 / 7], d_loss: -351.469757, g_loss: 181.907852, elapsed time: 34.346959 seconds
Training: [580 / 8], d_loss: -354.211731, g_loss: 178.797287, elapsed time: 34.250386 seconds
Training: [580 / 9], d_loss: -349.736481, g_loss: 178.452454, elapsed time: 34.387439 seconds
Training: [580 / 10], d_loss: -339.543579, g_loss: 177.198425, elapsed time: 34.071695 seconds
Training: [580 / 11], d_loss: -45.390015, g_loss: 139.099396, elapsed time: 34.073387 seconds
Training: [580 / 12], d_loss: -71.983841, g_loss: 158.177551, elapsed time: 34.223768 seconds
Training: [580 / 13], d_loss: -222.391083, g_loss: -121.860565, elapsed time: 34.036622 seconds
EPOCH: 581
Training: [581 / 0], d_loss: -345.840088, g_loss: 184.810303, elapsed time: 34.073487 seconds
Training: [581 / 1], d_loss: -353.561371, g_loss: 180.160629, elapsed time: 34.062162 seconds
Training: [581 / 2], d_loss: -260.050293, g_loss: 181.540283, elapsed time: 34.139468 seconds
Training: [581 / 3], d_loss: -147.684265, g_loss: 56.367386, elapsed time: 34.139103 seconds
Training: [581 / 4], d_loss: -327.902557, g_loss: 184.685974, elapsed time: 34.206872 seconds
Training: [581 / 5], d_loss: -361.715515, g_loss: 186.973846, elapsed time: 33.998482 seconds
Training: [581 / 6], d_loss: -348.358490, g_loss: 182.866089, elapsed time: 34.039429 seconds
Training: [581 / 7], d_loss: -343.710388, g_loss: 167.294128, elapsed time: 33.977919 seconds
Training: [581 / 8], d_loss: -232.367599, g_loss: 157.598724, elapsed time: 33.955587 seconds
Training: [581 / 9], d_loss: -337.939117, g_loss: 183.325958, elapsed time: 34.018261 seconds
Training: [581 / 10], d_loss: -192.052994, g_loss: -7.867619, elapsed time: 33.992817 seconds
Training: [581 / 11], d_loss: -96.745789, g_loss: 153.238312, elapsed time: 33.961604 seconds
Training: [581 / 12], d_loss: -363.078278, g_loss: 188.403839, elapsed time: 34.014157 seconds
Training: [581 / 13], d_loss: -361.738159, g_loss: 184.514343, elapsed time: 34.023185 seconds
EPOCH: 582
Training: [582 / 0], d_loss: -354.991669, g_loss: 179.489197, elapsed time: 34.035344 seconds
Training: [582 / 1], d_loss: -306.546997, g_loss: 167.325439, elapsed time: 33.988490 seconds
Training: [582 / 2], d_loss: -183.545868, g_loss: 126.018250, elapsed time: 34.020062 seconds
Training: [582 / 3], d_loss: -336.787231, g_loss: 182.297180, elapsed time: 33.978833 seconds
Training: [582 / 4], d_loss: -133.305740, g_loss: 33.716785, elapsed time: 33.984095 seconds
Training: [582 / 5], d_loss: -342.185120, g_loss: 186.113388, elapsed time: 33.902814 seconds
Training: [582 / 6], d_loss: -361.928406, g_loss: 185.770905, elapsed time: 34.008805 seconds
Training: [582 / 7], d_loss: -334.100128, g_loss: 148.637650, elapsed time: 33.958375 seconds
Training: [582 / 8], d_loss: -339.435760, g_loss: 180.157410, elapsed time: 34.011471 seconds
Training: [582 / 9], d_loss: -5.979752, g_loss: 174.092926, elapsed time: 33.992129 seconds
Training: [582 / 10], d_loss: -237.708099, g_loss: 83.008011, elapsed time: 33.933049 seconds
Training: [582 / 11], d_loss: -265.070984, g_loss: 136.775330, elapsed time: 33.886853 seconds
Training: [582 / 12], d_loss: -303.758667, g_loss: 176.454407, elapsed time: 33.957368 seconds
Training: [582 / 13], d_loss: -357.365784, g_loss: 184.704605, elapsed time: 34.152000 seconds
EPOCH: 583
Training: [583 / 0], d_loss: -334.773132, g_loss: 174.608353, elapsed time: 34.092437 seconds
Training: [583 / 1], d_loss: -326.159912, g_loss: 179.447662, elapsed time: 34.119452 seconds
Training: [583 / 2], d_loss: -348.099823, g_loss: 176.185516, elapsed time: 34.234596 seconds
Training: [583 / 3], d_loss: -334.363586, g_loss: 171.788620, elapsed time: 34.179164 seconds
Training: [583 / 4], d_loss: -63.001381, g_loss: -47.281818, elapsed time: 34.151541 seconds
Training: [583 / 5], d_loss: -132.554199, g_loss: 152.820618, elapsed time: 33.999730 seconds
Training: [583 / 6], d_loss: -240.576553, g_loss: 98.344559, elapsed time: 33.912277 seconds
Training: [583 / 7], d_loss: -340.452423, g_loss: 184.897217, elapsed time: 33.928124 seconds
Training: [583 / 8], d_loss: -362.584198, g_loss: 187.640778, elapsed time: 33.953312 seconds
Training: [583 / 9], d_loss: -359.651672, g_loss: 184.043655, elapsed time: 34.040800 seconds
Training: [583 / 10], d_loss: -345.696106, g_loss: 179.382233, elapsed time: 33.965288 seconds
Training: [583 / 11], d_loss: -347.933838, g_loss: 183.771194, elapsed time: 34.056443 seconds
Training: [583 / 12], d_loss: -187.457031, g_loss: -79.409485, elapsed time: 34.051737 seconds
Training: [583 / 13], d_loss: -203.165039, g_loss: 8.893919, elapsed time: 33.993350 seconds
EPOCH: 584
Training: [584 / 0], d_loss: -184.452118, g_loss: 22.539059, elapsed time: 34.079500 seconds
Training: [584 / 1], d_loss: -339.240021, g_loss: 185.688232, elapsed time: 34.212478 seconds
Training: [584 / 2], d_loss: -361.123169, g_loss: 185.078857, elapsed time: 34.266379 seconds
Training: [584 / 3], d_loss: -352.556671, g_loss: 179.904617, elapsed time: 33.998267 seconds
Training: [584 / 4], d_loss: -309.898315, g_loss: 175.798981, elapsed time: 34.183462 seconds
Training: [584 / 5], d_loss: -162.792053, g_loss: 105.244347, elapsed time: 34.169505 seconds
Training: [584 / 6], d_loss: -344.403625, g_loss: 183.097229, elapsed time: 33.979250 seconds
Training: [584 / 7], d_loss: -363.259857, g_loss: 187.627029, elapsed time: 34.056257 seconds
Training: [584 / 8], d_loss: -344.626007, g_loss: 177.084808, elapsed time: 34.010597 seconds
Training: [584 / 9], d_loss: -345.970795, g_loss: 182.982071, elapsed time: 33.994342 seconds
Training: [584 / 10], d_loss: -351.772827, g_loss: 182.171539, elapsed time: 33.919855 seconds
Training: [584 / 11], d_loss: -31.817108, g_loss: 45.493065, elapsed time: 34.004452 seconds
Training: [584 / 12], d_loss: -119.673546, g_loss: 167.561752, elapsed time: 34.025484 seconds
Training: [584 / 13], d_loss: -190.762802, g_loss: 95.739090, elapsed time: 33.957946 seconds
EPOCH: 585
Training: [585 / 0], d_loss: -305.981476, g_loss: 183.207764, elapsed time: 34.056899 seconds
Training: [585 / 1], d_loss: -360.955811, g_loss: 186.049255, elapsed time: 33.970282 seconds
Training: [585 / 2], d_loss: -349.862061, g_loss: 179.105713, elapsed time: 33.981873 seconds
Training: [585 / 3], d_loss: -357.930847, g_loss: 182.486603, elapsed time: 34.015925 seconds
Training: [585 / 4], d_loss: -351.078674, g_loss: 169.327606, elapsed time: 34.289334 seconds
Training: [585 / 5], d_loss: -60.389908, g_loss: 133.296753, elapsed time: 34.416421 seconds
Training: [585 / 6], d_loss: -306.979614, g_loss: 144.230179, elapsed time: 34.263728 seconds
Training: [585 / 7], d_loss: -295.582825, g_loss: 180.986420, elapsed time: 34.507655 seconds
Training: [585 / 8], d_loss: -315.464294, g_loss: 171.180618, elapsed time: 34.437207 seconds
Training: [585 / 9], d_loss: -357.194519, g_loss: 185.523071, elapsed time: 34.323426 seconds
Training: [585 / 10], d_loss: -345.638855, g_loss: 179.315216, elapsed time: 34.474818 seconds
